path,sample,cohort
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC003_Fresh_E100013189_L01/filtered_nohost1.fq.gz,CRC003,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC004_Fresh_E100016770_L01/filtered_nohost1.fq.gz,CRC004,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC005_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC005,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC006_Fresh_E100013189_L01/filtered_nohost1.fq.gz,CRC006,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC010_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC010,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC018_Fresh_E100013189_L01/filtered_nohost1.fq.gz,CRC018,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC019_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC019,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC020_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC020,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC021_Fresh_E100013189_L01/filtered_nohost1.fq.gz,CRC021,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC022_Fresh_E100013189_L01/filtered_nohost1.fq.gz,CRC022,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC023_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC023,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_CRC025_Fresh_E100013135_L01/filtered_nohost1.fq.gz,CRC025,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB_FIT008_E100016770_L01/filtered_nohost1.fq.gz,MB,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB_FIT006_E100016770_L01/filtered_nohost1.fq.gz,MB,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB_FIT022_E100016770_L01/filtered_nohost1.fq.gz,MB,BGI1
